"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/GSM8k","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/GSM8k","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/GSM8k__MAX"
"0","0","0","0","0.000758150113722517","0.000758150113722517","0.000758150113722517"
"4","0","0","0","0","0","0"
"8","0","0","0","0.000758150113722517","0.000758150113722517","0.000758150113722517"
"12","0","0","0","0","0","0"
"16","0","0","0","0","0","0"
"20","0","0","0","0.000758150113722517","0.000758150113722517","0.000758150113722517"
"24","0","0","0","0.000758150113722517","0.000758150113722517","0.000758150113722517"
"28","0","0","0","0.011372251705837756","0.011372251705837756","0.011372251705837756"
"32","0.000758150113722517","0.000758150113722517","0.000758150113722517","0.0887035633055345","0.0887035633055345","0.0887035633055345"
"36","0.015163002274450341","0.015163002274450341","0.015163002274450341","0.2987111448066717","0.2987111448066717","0.2987111448066717"
"40","0.04473085670962851","0.04473085670962851","0.04473085670962851","0.5140257771038665","0.5140257771038665","0.5140257771038665"
"44","0.08946171341925702","0.08946171341925702","0.08946171341925702","0.6057619408642911","0.6057619408642911","0.6057619408642911"
"48","0.1463229719484458","0.1463229719484458","0.1463229719484458","0.6702047005307051","0.6702047005307051","0.6702047005307051"
"52","0.26156178923426837","0.26156178923426837","0.26156178923426837","0.7020470053070508","0.7020470053070508","0.7020470053070508"
"56","0.378316906747536","0.378316906747536","0.378316906747536","0.7285822592873389","0.7285822592873389","0.7285822592873389"
"60","0.42987111448066717","0.42987111448066717","0.42987111448066717","0.7126611068991661","0.7126611068991661","0.7126611068991661"
"64","0.46853677028051555","0.46853677028051555","0.46853677028051555","0.7293404094010614","0.7293404094010614","0.7293404094010614"
"68","0.5140257771038665","0.5140257771038665","0.5140257771038665","0.7217589082638363","0.7217589082638363","0.7217589082638363"
"72","0.555724033358605","0.555724033358605","0.555724033358605","0.7210007581501138","0.7210007581501138","0.7210007581501138"
"76","0.5648218347232752","0.5648218347232752","0.5648218347232752","0.7255496588324488","0.7255496588324488","0.7255496588324488"
"80","0.5981804397270659","0.5981804397270659","0.5981804397270659","0.7156937073540561","0.7156937073540561","0.7156937073540561"
"84","0.5943896891584534","0.5943896891584534","0.5943896891584534","0.5178165276724791","0.5178165276724791","0.5178165276724791"
"88","0.6034874905231236","0.6034874905231236","0.6034874905231236","0.08642911296436695","0.08642911296436695","0.08642911296436695"
"92","0.6087945413191812","0.6087945413191812","0.6087945413191812","0.05307050796057619","0.05307050796057619","0.05307050796057619"
"96","0.6345716451857468","0.6345716451857468","0.6345716451857468","","",""
"100","0.6376042456406369","0.6376042456406369","0.6376042456406369","","",""
"104","0.6376042456406369","0.6376042456406369","0.6376042456406369","","",""
"108","0.6277482941622441","0.6277482941622441","0.6277482941622441","","",""
"112","0.6277482941622441","0.6277482941622441","0.6277482941622441","","",""
"116","0.6376042456406369","0.6376042456406369","0.6376042456406369","","",""
"120","0.643669446550417","0.643669446550417","0.643669446550417","","",""
"124","0.6360879454131918","0.6360879454131918","0.6360879454131918","","",""
"128","0.6307808946171342","0.6307808946171342","0.6307808946171342","","",""
