"Step","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/AMC23","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/AMC23__MIN","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/AMC23__MAX","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/AMC23","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/AMC23__MIN","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/AMC23__MAX","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/AMC23","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/AMC23__MIN","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/AMC23__MAX"
"316","0.225","0.225","0.225","","","","0.175","0.175","0.175"
"320","0.2","0.2","0.2","","","","0.25","0.25","0.25"
"324","0.225","0.225","0.225","","","","0.35","0.35","0.35"
"328","0.275","0.275","0.275","","","","0.175","0.175","0.175"
"332","0.25","0.25","0.25","","","","0.225","0.225","0.225"
"336","0.175","0.175","0.175","","","","0.275","0.275","0.275"
"340","0.25","0.25","0.25","","","","0.225","0.225","0.225"
"344","0.25","0.25","0.25","","","","0.15","0.15","0.15"
"348","0.225","0.225","0.225","","","","0.275","0.275","0.275"
"352","0.2","0.2","0.2","","","","0.175","0.175","0.175"
"356","0.25","0.25","0.25","","","","0.25","0.25","0.25"
"360","0.15","0.15","0.15","","","","0.225","0.225","0.225"
"364","0.2","0.2","0.2","","","","0.2","0.2","0.2"
"368","0.15","0.15","0.15","","","","0.275","0.275","0.275"
"372","0.2","0.2","0.2","","","","0.175","0.175","0.175"
"376","0.2","0.2","0.2","","","","0.2","0.2","0.2"
"380","0.25","0.25","0.25","","","","0.3","0.3","0.3"
"384","0.25","0.25","0.25","","","","0.25","0.25","0.25"
"388","0.275","0.275","0.275","","","","0.2","0.2","0.2"
"392","0.2","0.2","0.2","","","","0.25","0.25","0.25"
"396","0.25","0.25","0.25","","","","0.225","0.225","0.225"
"400","0.2","0.2","0.2","","","","0.15","0.15","0.15"
"404","0.225","0.225","0.225","","","","0.275","0.275","0.275"
"408","0.2","0.2","0.2","","","","0.2","0.2","0.2"
"412","0.15","0.15","0.15","","","","0.175","0.175","0.175"
"416","0.25","0.25","0.25","","","","0.225","0.225","0.225"
"420","0.15","0.15","0.15","","","","0.175","0.175","0.175"
"424","0.2","0.2","0.2","","","","0.2","0.2","0.2"
"428","0.2","0.2","0.2","","","","0.225","0.225","0.225"
"432","0.175","0.175","0.175","","","","0.2","0.2","0.2"
"436","0.2","0.2","0.2","","","","0.2","0.2","0.2"
"440","0.2","0.2","0.2","","","","0.2","0.2","0.2"
"444","0.175","0.175","0.175","","","","0.325","0.325","0.325"
"448","0.1","0.1","0.1","","","","0.275","0.275","0.275"
"452","0.175","0.175","0.175","","","","0.225","0.225","0.225"
"456","0.2","0.2","0.2","","","","0.2","0.2","0.2"
"460","0.175","0.175","0.175","","","","0.25","0.25","0.25"
"464","0.175","0.175","0.175","","","","0.175","0.175","0.175"
"468","0.225","0.225","0.225","","","","0.15","0.15","0.15"
"472","0.275","0.275","0.275","","","","0.15","0.15","0.15"
"476","0.2","0.2","0.2","","","","0.175","0.175","0.175"
"480","0.175","0.175","0.175","","","","0.25","0.25","0.25"
"484","0.225","0.225","0.225","","","","0.3","0.3","0.3"
"488","0.275","0.275","0.275","","","","0.2","0.2","0.2"
"492","0.3","0.3","0.3","","","","0.225","0.225","0.225"
"496","0.275","0.275","0.275","","","","0.25","0.25","0.25"
"500","0.275","0.275","0.275","","","","0.25","0.25","0.25"
"504","0.15","0.15","0.15","","","","0.35","0.35","0.35"
"508","0.2","0.2","0.2","","","","0.175","0.175","0.175"
"512","0.225","0.225","0.225","","","","0.25","0.25","0.25"
"516","0.175","0.175","0.175","","","","0.2","0.2","0.2"
"520","0.2","0.2","0.2","","","","0.175","0.175","0.175"
"524","0.275","0.275","0.275","","","","0.275","0.275","0.275"
"528","0.275","0.275","0.275","","","","0.2","0.2","0.2"
"532","0.125","0.125","0.125","","","","0.25","0.25","0.25"
"536","0.225","0.225","0.225","","","","0.25","0.25","0.25"
"540","0.175","0.175","0.175","","","","0.225","0.225","0.225"
"544","0.325","0.325","0.325","","","","0.225","0.225","0.225"
"548","0.225","0.225","0.225","","","","0.275","0.275","0.275"
"552","0.175","0.175","0.175","","","","0.275","0.275","0.275"
"556","0.225","0.225","0.225","","","","0.25","0.25","0.25"
"560","0.2","0.2","0.2","","","","0.25","0.25","0.25"
"564","0.25","0.25","0.25","","","","0.2","0.2","0.2"
"568","0.2","0.2","0.2","","","","0.175","0.175","0.175"
"572","0.2","0.2","0.2","","","","0.15","0.15","0.15"
"576","0.25","0.25","0.25","","","","0.175","0.175","0.175"
"580","0.225","0.225","0.225","","","","0.2","0.2","0.2"
"584","0.2","0.2","0.2","","","","0.15","0.15","0.15"
"588","0.25","0.25","0.25","","","","0.25","0.25","0.25"
"592","0.325","0.325","0.325","","","","0.175","0.175","0.175"
"596","0.275","0.275","0.275","","","","0.2","0.2","0.2"
"600","0.2","0.2","0.2","","","","0.275","0.275","0.275"
"604","0.25","0.25","0.25","","","","0.25","0.25","0.25"
"608","0.225","0.225","0.225","","","","0.225","0.225","0.225"
"612","0.225","0.225","0.225","","","","0.225","0.225","0.225"
"616","0.225","0.225","0.225","","","","0.3","0.3","0.3"
"620","0.225","0.225","0.225","","","","0.275","0.275","0.275"
"624","0.175","0.175","0.175","","","","0.2","0.2","0.2"
"628","0.25","0.25","0.25","","","","0.2","0.2","0.2"
"632","0.225","0.225","0.225","","","","0.225","0.225","0.225"
"636","0.175","0.175","0.175","","","","0.225","0.225","0.225"
"640","0.25","0.25","0.25","","","","0.3","0.3","0.3"
"644","0.3","0.3","0.3","","","","0.225","0.225","0.225"
"648","0.275","0.275","0.275","","","","0.25","0.25","0.25"
"652","0.2","0.2","0.2","","","","0.175","0.175","0.175"
"656","0.175","0.175","0.175","","","","0.225","0.225","0.225"
"660","0.15","0.15","0.15","","","","0.225","0.225","0.225"
"664","0.225","0.225","0.225","","","","0.2","0.2","0.2"
"668","0.225","0.225","0.225","","","","0.25","0.25","0.25"
"672","0.275","0.275","0.275","","","","0.175","0.175","0.175"
"676","0.15","0.15","0.15","","","","0.15","0.15","0.15"
"680","0.2","0.2","0.2","","","","0.25","0.25","0.25"
"684","0.15","0.15","0.15","","","","0.125","0.125","0.125"
"688","0.175","0.175","0.175","","","","0.15","0.15","0.15"
"692","0.15","0.15","0.15","","","","0.15","0.15","0.15"
"696","0.15","0.15","0.15","","","","","",""
"700","0.2","0.2","0.2","","","","","",""
"704","0.15","0.15","0.15","","","","","",""
"708","0.1","0.1","0.1","","","","","",""
"712","0.225","0.225","0.225","","","","","",""
"716","0.2","0.2","0.2","","","","","",""
"720","0.25","0.25","0.25","","","","","",""
"724","0.2","0.2","0.2","","","","","",""
"728","0.2","0.2","0.2","","","","","",""
"732","0.2","0.2","0.2","","","","","",""
"736","0.175","0.175","0.175","","","","","",""
"740","0.225","0.225","0.225","","","","","",""
"744","0.25","0.25","0.25","","","","","",""
"748","0.2","0.2","0.2","","","","","",""
"752","0.175","0.175","0.175","","","","","",""
"756","0.275","0.275","0.275","","","","","",""
"760","0.175","0.175","0.175","","","","","",""
"764","0.15","0.15","0.15","","","","","",""
"768","0.175","0.175","0.175","","","","","",""
"772","0.2","0.2","0.2","","","","","",""
"776","0.275","0.275","0.275","","","","","",""
"780","0.2","0.2","0.2","","","","","",""
"784","0.2","0.2","0.2","","","","","",""
"788","0.25","0.25","0.25","","","","","",""
"792","0.275","0.275","0.275","","","","","",""
"796","0.2","0.2","0.2","","","","","",""
"800","0.225","0.225","0.225","","","","","",""
"804","0.2","0.2","0.2","","","","","",""
"808","0.175","0.175","0.175","","","","","",""
"812","0.175","0.175","0.175","","","","","",""
"816","0.2","0.2","0.2","","","","","",""
"820","0.2","0.2","0.2","","","","","",""
"824","0.2","0.2","0.2","","","","","",""
"828","0.15","0.15","0.15","","","","","",""
"832","0.3","0.3","0.3","","","","","",""
"836","0.15","0.15","0.15","","","","","",""
"840","0.175","0.175","0.175","","","","","",""
"844","0.225","0.225","0.225","","","","","",""
"848","0.25","0.25","0.25","","","","","",""
"852","0.25","0.25","0.25","","","","","",""
"856","0.225","0.225","0.225","","","","","",""
"860","0.225","0.225","0.225","","","","","",""
"864","0.15","0.15","0.15","","","","","",""
"868","0.125","0.125","0.125","","","","","",""
"872","0.2","0.2","0.2","","","","","",""
"876","0.25","0.25","0.25","","","","","",""
