Step,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/AMC23,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/AMC23__MAX,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/AMC23__MIN,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/AMC23,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/AMC23__MAX,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/AMC23__MIN,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/AMC23,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/AMC23__MAX,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/AMC23__MIN
188,2754.8571428571427,2754.8571428571427,2754.8571428571427,493.8,493.8,493.8,587.0,587.0,587.0
192,2636.0,2636.0,2636.0,628.875,628.875,628.875,443.625,443.625,443.625
196,3373.25,3373.25,3373.25,354.0,354.0,354.0,459.7,459.7,459.7
200,,,,391.77777777777777,391.77777777777777,391.77777777777777,284.75,284.75,284.75
204,,,,394.3,394.3,394.3,269.5,269.5,269.5
208,,,,360.125,360.125,360.125,307.75,307.75,307.75
212,,,,397.375,397.375,397.375,494.09090909090907,494.09090909090907,494.09090909090907
216,,,,912.1666666666666,912.1666666666666,912.1666666666666,384.0,384.0,384.0
220,,,,484.6666666666667,484.6666666666667,484.6666666666667,498.6666666666667,498.6666666666667,498.6666666666667
224,,,,366.625,366.625,366.625,296.1666666666667,296.1666666666667,296.1666666666667
228,,,,351.25,351.25,351.25,401.7272727272728,401.7272727272728,401.7272727272728
232,,,,431.22222222222223,431.22222222222223,431.22222222222223,463.0,463.0,463.0
236,,,,530.1111111111111,530.1111111111111,530.1111111111111,496.7,496.7,496.7
240,,,,648.8,648.8,648.8,411.3333333333333,411.3333333333333,411.3333333333333
244,,,,395.3333333333333,395.3333333333333,395.3333333333333,382.1428571428572,382.1428571428572,382.1428571428572
248,,,,491.125,491.125,491.125,345.0,345.0,345.0
252,,,,489.44444444444446,489.44444444444446,489.44444444444446,438.5,438.5,438.5
256,,,,449.22222222222223,449.22222222222223,449.22222222222223,489.22222222222223,489.22222222222223,489.22222222222223
260,,,,482.5,482.5,482.5,409.77777777777777,409.77777777777777,409.77777777777777
264,,,,523.0,523.0,523.0,441.44444444444446,441.44444444444446,441.44444444444446
268,,,,372.875,372.875,372.875,652.5555555555555,652.5555555555555,652.5555555555555
272,,,,391.75,391.75,391.75,678.4,678.4,678.4
276,,,,376.55555555555554,376.55555555555554,376.55555555555554,631.1111111111111,631.1111111111111,631.1111111111111
280,,,,434.75,434.75,434.75,342.1666666666667,342.1666666666667,342.1666666666667
284,,,,515.875,515.875,515.875,507.75,507.75,507.75
288,,,,470.875,470.875,470.875,419.4,419.4,419.4
292,,,,525.75,525.75,525.75,351.55555555555554,351.55555555555554,351.55555555555554
296,,,,791.2307692307693,791.2307692307693,791.2307692307693,415.57142857142856,415.57142857142856,415.57142857142856
300,,,,504.09090909090907,504.09090909090907,504.09090909090907,998.4444444444443,998.4444444444443,998.4444444444443
304,,,,479.6363636363636,479.6363636363636,479.6363636363636,720.7142857142857,720.7142857142857,720.7142857142857
308,,,,733.8333333333334,733.8333333333334,733.8333333333334,652.5714285714286,652.5714285714286,652.5714285714286
312,,,,443.8181818181818,443.8181818181818,443.8181818181818,454.55555555555554,454.55555555555554,454.55555555555554
316,,,,346.2857142857143,346.2857142857143,346.2857142857143,382.3333333333333,382.3333333333333,382.3333333333333
320,,,,452.8,452.8,452.8,500.75,500.75,500.75
324,,,,467.4285714285714,467.4285714285714,467.4285714285714,355.3333333333333,355.3333333333333,355.3333333333333
328,,,,281.7142857142857,281.7142857142857,281.7142857142857,530.0,530.0,530.0
332,,,,440.22222222222223,440.22222222222223,440.22222222222223,500.7,500.7,500.7
336,,,,398.54545454545456,398.54545454545456,398.54545454545456,483.7142857142857,483.7142857142857,483.7142857142857
340,,,,577.5555555555555,577.5555555555555,577.5555555555555,496.8,496.8,496.8
344,,,,321.6666666666667,321.6666666666667,321.6666666666667,508.1,508.1,508.1
348,,,,521.0909090909091,521.0909090909091,521.0909090909091,351.22222222222223,351.22222222222223,351.22222222222223
352,,,,1381.0,1381.0,1381.0,512.0,512.0,512.0
356,,,,595.9,595.9,595.9,623.5,623.5,623.5
360,,,,417.6666666666667,417.6666666666667,417.6666666666667,824.8333333333334,824.8333333333334,824.8333333333334
364,,,,478.625,478.625,478.625,407.875,407.875,407.875
368,,,,545.6363636363636,545.6363636363636,545.6363636363636,417.8333333333333,417.8333333333333,417.8333333333333
372,,,,575.1428571428571,575.1428571428571,575.1428571428571,475.875,475.875,475.875
376,,,,775.5,775.5,775.5,443.5,443.5,443.5
380,,,,590.6666666666666,590.6666666666666,590.6666666666666,412.8,412.8,412.8
384,,,,535.6,535.6,535.6,455.9,455.9,455.9
388,,,,511.75,511.75,511.75,461.8181818181818,461.8181818181818,461.8181818181818
392,,,,637.6,637.6,637.6,336.375,336.375,336.375
396,,,,476.44444444444446,476.44444444444446,476.44444444444446,384.6,384.6,384.6
400,,,,306.1666666666667,306.1666666666667,306.1666666666667,405.125,405.125,405.125
404,,,,399.27272727272725,399.27272727272725,399.27272727272725,515.6666666666666,515.6666666666666,515.6666666666666
408,,,,411.0,411.0,411.0,350.625,350.625,350.625
412,,,,499.4285714285714,499.4285714285714,499.4285714285714,317.0,317.0,317.0
416,,,,620.0,620.0,620.0,357.2,357.2,357.2
420,,,,1569.2857142857142,1569.2857142857142,1569.2857142857142,302.8333333333333,302.8333333333333,302.8333333333333
424,,,,546.625,546.625,546.625,733.5,733.5,733.5
428,,,,552.8888888888889,552.8888888888889,552.8888888888889,514.5,514.5,514.5
432,,,,498.125,498.125,498.125,429.8571428571428,429.8571428571428,429.8571428571428
436,,,,558.5,558.5,558.5,552.75,552.75,552.75
440,,,,534.375,534.375,534.375,447.375,447.375,447.375
444,,,,506.1538461538461,506.1538461538461,506.1538461538461,423.7142857142857,423.7142857142857,423.7142857142857
448,,,,545.4545454545455,545.4545454545455,545.4545454545455,400.25,400.25,400.25
452,,,,524.5555555555555,524.5555555555555,524.5555555555555,354.2857142857143,354.2857142857143,354.2857142857143
456,,,,463.375,463.375,463.375,375.75,375.75,375.75
460,,,,584.0,584.0,584.0,400.8571428571428,400.8571428571428,400.8571428571428
464,,,,773.5714285714286,773.5714285714286,773.5714285714286,393.8571428571428,393.8571428571428,393.8571428571428
468,,,,514.3333333333334,514.3333333333334,514.3333333333334,571.0,571.0,571.0
472,,,,400.5,400.5,400.5,381.27272727272725,381.27272727272725,381.27272727272725
476,,,,412.0,412.0,412.0,302.25,302.25,302.25
480,,,,725.0,725.0,725.0,513.1428571428571,513.1428571428571,513.1428571428571
484,,,,577.0,577.0,577.0,794.1111111111111,794.1111111111111,794.1111111111111
488,,,,663.375,663.375,663.375,365.8181818181818,365.8181818181818,365.8181818181818
492,,,,519.7777777777778,519.7777777777778,519.7777777777778,540.0833333333334,540.0833333333334,540.0833333333334
496,,,,584.7,584.7,584.7,539.4545454545455,539.4545454545455,539.4545454545455
500,,,,835.8,835.8,835.8,441.0,441.0,441.0
504,,,,584.6428571428571,584.6428571428571,584.6428571428571,381.8333333333333,381.8333333333333,381.8333333333333
508,,,,379.2857142857143,379.2857142857143,379.2857142857143,595.375,595.375,595.375
512,,,,426.7,426.7,426.7,444.8888888888889,444.8888888888889,444.8888888888889
516,,,,484.25,484.25,484.25,489.8571428571428,489.8571428571428,489.8571428571428
520,,,,427.8571428571428,427.8571428571428,427.8571428571428,511.625,511.625,511.625
524,,,,475.3636363636364,475.3636363636364,475.3636363636364,538.0909090909091,538.0909090909091,538.0909090909091
528,,,,471.75,471.75,471.75,685.0909090909091,685.0909090909091,685.0909090909091
532,,,,598.2,598.2,598.2,404.0,404.0,404.0
536,,,,491.0,491.0,491.0,451.44444444444446,451.44444444444446,451.44444444444446
540,,,,486.55555555555554,486.55555555555554,486.55555555555554,395.4285714285714,395.4285714285714,395.4285714285714
544,,,,460.6666666666667,460.6666666666667,460.6666666666667,413.3076923076923,413.3076923076923,413.3076923076923
548,,,,573.4545454545455,573.4545454545455,573.4545454545455,510.0,510.0,510.0
552,,,,468.0,468.0,468.0,391.8571428571428,391.8571428571428,391.8571428571428
556,,,,527.6,527.6,527.6,622.4444444444445,622.4444444444445,622.4444444444445
560,,,,573.5,573.5,573.5,365.875,365.875,365.875
564,,,,438.75,438.75,438.75,555.7,555.7,555.7
568,,,,357.57142857142856,357.57142857142856,357.57142857142856,953.75,953.75,953.75
572,,,,424.3333333333333,424.3333333333333,424.3333333333333,662.875,662.875,662.875
576,,,,322.1428571428572,322.1428571428572,322.1428571428572,580.0,580.0,580.0
580,,,,520.0,520.0,520.0,466.44444444444446,466.44444444444446,466.44444444444446
584,,,,297.0,297.0,297.0,440.5,440.5,440.5
588,,,,569.4,569.4,569.4,421.7,421.7,421.7
592,,,,601.5714285714286,601.5714285714286,601.5714285714286,529.3846153846154,529.3846153846154,529.3846153846154
596,,,,403.0,403.0,403.0,380.9090909090909,380.9090909090909,380.9090909090909
600,,,,617.4545454545455,617.4545454545455,617.4545454545455,420.0,420.0,420.0
604,,,,577.6,577.6,577.6,330.1,330.1,330.1
608,,,,629.8888888888889,629.8888888888889,629.8888888888889,488.0,488.0,488.0
612,,,,462.1111111111111,462.1111111111111,462.1111111111111,481.22222222222223,481.22222222222223,481.22222222222223
616,,,,577.1666666666666,577.1666666666666,577.1666666666666,478.6666666666667,478.6666666666667,478.6666666666667
620,,,,606.9090909090909,606.9090909090909,606.9090909090909,334.0,334.0,334.0
624,,,,692.875,692.875,692.875,624.2857142857143,624.2857142857143,624.2857142857143
628,,,,555.875,555.875,555.875,781.4,781.4,781.4
632,,,,486.8888888888889,486.8888888888889,486.8888888888889,478.6666666666667,478.6666666666667,478.6666666666667
636,,,,507.22222222222223,507.22222222222223,507.22222222222223,541.4285714285714,541.4285714285714,541.4285714285714
640,,,,767.5833333333334,767.5833333333334,767.5833333333334,579.5,579.5,579.5
644,,,,508.55555555555554,508.55555555555554,508.55555555555554,682.75,682.75,682.75
648,,,,574.8,574.8,574.8,459.8181818181818,459.8181818181818,459.8181818181818
652,,,,468.8571428571428,468.8571428571428,468.8571428571428,625.125,625.125,625.125
656,,,,589.6666666666666,589.6666666666666,589.6666666666666,498.57142857142856,498.57142857142856,498.57142857142856
660,,,,595.0,595.0,595.0,483.0,483.0,483.0
664,,,,554.625,554.625,554.625,382.44444444444446,382.44444444444446,382.44444444444446
668,,,,504.5,504.5,504.5,420.77777777777777,420.77777777777777,420.77777777777777
672,,,,467.1428571428572,467.1428571428572,467.1428571428572,453.6363636363636,453.6363636363636,453.6363636363636
676,,,,426.6666666666667,426.6666666666667,426.6666666666667,344.8333333333333,344.8333333333333,344.8333333333333
680,,,,542.5,542.5,542.5,570.875,570.875,570.875
684,,,,380.4,380.4,380.4,346.0,346.0,346.0
688,,,,822.6666666666666,822.6666666666666,822.6666666666666,425.4285714285714,425.4285714285714,425.4285714285714
692,,,,399.5,399.5,399.5,387.6666666666667,387.6666666666667,387.6666666666667
696,,,,,,,369.0,369.0,369.0
700,,,,,,,425.625,425.625,425.625
704,,,,,,,454.8333333333333,454.8333333333333,454.8333333333333
708,,,,,,,299.5,299.5,299.5
712,,,,,,,535.0,535.0,535.0
716,,,,,,,393.0,393.0,393.0
720,,,,,,,474.7,474.7,474.7
724,,,,,,,454.25,454.25,454.25
728,,,,,,,457.625,457.625,457.625
732,,,,,,,397.875,397.875,397.875
736,,,,,,,580.4285714285714,580.4285714285714,580.4285714285714
740,,,,,,,387.44444444444446,387.44444444444446,387.44444444444446
744,,,,,,,416.4,416.4,416.4
748,,,,,,,392.5,392.5,392.5
752,,,,,,,342.0,342.0,342.0
756,,,,,,,423.09090909090907,423.09090909090907,423.09090909090907
760,,,,,,,310.42857142857144,310.42857142857144,310.42857142857144
764,,,,,,,429.8333333333333,429.8333333333333,429.8333333333333
768,,,,,,,551.7142857142857,551.7142857142857,551.7142857142857
772,,,,,,,441.625,441.625,441.625
776,,,,,,,539.3636363636364,539.3636363636364,539.3636363636364
780,,,,,,,459.375,459.375,459.375
784,,,,,,,542.5,542.5,542.5
788,,,,,,,562.1,562.1,562.1
792,,,,,,,566.0909090909091,566.0909090909091,566.0909090909091
796,,,,,,,417.5,417.5,417.5
800,,,,,,,650.1111111111111,650.1111111111111,650.1111111111111
804,,,,,,,687.25,687.25,687.25
808,,,,,,,416.4285714285714,416.4285714285714,416.4285714285714
812,,,,,,,375.0,375.0,375.0
816,,,,,,,439.875,439.875,439.875
820,,,,,,,471.25,471.25,471.25
824,,,,,,,507.0,507.0,507.0
828,,,,,,,406.3333333333333,406.3333333333333,406.3333333333333
832,,,,,,,531.6666666666666,531.6666666666666,531.6666666666666
836,,,,,,,634.8333333333334,634.8333333333334,634.8333333333334
840,,,,,,,439.2857142857143,439.2857142857143,439.2857142857143
844,,,,,,,408.77777777777777,408.77777777777777,408.77777777777777
848,,,,,,,619.6,619.6,619.6
852,,,,,,,464.8,464.8,464.8
856,,,,,,,608.0,608.0,608.0
860,,,,,,,446.1111111111111,446.1111111111111,446.1111111111111
864,,,,,,,585.0,585.0,585.0
868,,,,,,,537.8,537.8,537.8
872,,,,,,,399.25,399.25,399.25
876,,,,,,,527.3,527.3,527.3
