Step,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/AMC23,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/AMC23__MAX,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/AMC23__MIN,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/AMC23,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/AMC23__MAX,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/AMC23__MIN,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/AMC23,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/AMC23__MAX,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/AMC23__MIN
316,,,,0.175,0.175,0.175,0.225,0.225,0.225
320,,,,0.25,0.25,0.25,0.2,0.2,0.2
324,,,,0.35,0.35,0.35,0.225,0.225,0.225
328,,,,0.175,0.175,0.175,0.275,0.275,0.275
332,,,,0.225,0.225,0.225,0.25,0.25,0.25
336,,,,0.275,0.275,0.275,0.175,0.175,0.175
340,,,,0.225,0.225,0.225,0.25,0.25,0.25
344,,,,0.15,0.15,0.15,0.25,0.25,0.25
348,,,,0.275,0.275,0.275,0.225,0.225,0.225
352,,,,0.175,0.175,0.175,0.2,0.2,0.2
356,,,,0.25,0.25,0.25,0.25,0.25,0.25
360,,,,0.225,0.225,0.225,0.15,0.15,0.15
364,,,,0.2,0.2,0.2,0.2,0.2,0.2
368,,,,0.275,0.275,0.275,0.15,0.15,0.15
372,,,,0.175,0.175,0.175,0.2,0.2,0.2
376,,,,0.2,0.2,0.2,0.2,0.2,0.2
380,,,,0.3,0.3,0.3,0.25,0.25,0.25
384,,,,0.25,0.25,0.25,0.25,0.25,0.25
388,,,,0.2,0.2,0.2,0.275,0.275,0.275
392,,,,0.25,0.25,0.25,0.2,0.2,0.2
396,,,,0.225,0.225,0.225,0.25,0.25,0.25
400,,,,0.15,0.15,0.15,0.2,0.2,0.2
404,,,,0.275,0.275,0.275,0.225,0.225,0.225
408,,,,0.2,0.2,0.2,0.2,0.2,0.2
412,,,,0.175,0.175,0.175,0.15,0.15,0.15
416,,,,0.225,0.225,0.225,0.25,0.25,0.25
420,,,,0.175,0.175,0.175,0.15,0.15,0.15
424,,,,0.2,0.2,0.2,0.2,0.2,0.2
428,,,,0.225,0.225,0.225,0.2,0.2,0.2
432,,,,0.2,0.2,0.2,0.175,0.175,0.175
436,,,,0.2,0.2,0.2,0.2,0.2,0.2
440,,,,0.2,0.2,0.2,0.2,0.2,0.2
444,,,,0.325,0.325,0.325,0.175,0.175,0.175
448,,,,0.275,0.275,0.275,0.1,0.1,0.1
452,,,,0.225,0.225,0.225,0.175,0.175,0.175
456,,,,0.2,0.2,0.2,0.2,0.2,0.2
460,,,,0.25,0.25,0.25,0.175,0.175,0.175
464,,,,0.175,0.175,0.175,0.175,0.175,0.175
468,,,,0.15,0.15,0.15,0.225,0.225,0.225
472,,,,0.15,0.15,0.15,0.275,0.275,0.275
476,,,,0.175,0.175,0.175,0.2,0.2,0.2
480,,,,0.25,0.25,0.25,0.175,0.175,0.175
484,,,,0.3,0.3,0.3,0.225,0.225,0.225
488,,,,0.2,0.2,0.2,0.275,0.275,0.275
492,,,,0.225,0.225,0.225,0.3,0.3,0.3
