"Step","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val_response_length/test_length_correct/AMC23__MAX"
"156","259.57142857142856","259.57142857142856","259.57142857142856","401","401","401","714.6666666666666","714.6666666666666","714.6666666666666","831.5714285714286","831.5714285714286","831.5714285714286"
"160","192.71428571428572","192.71428571428572","192.71428571428572","484.22222222222223","484.22222222222223","484.22222222222223","562.1666666666666","562.1666666666666","562.1666666666666","1438.3333333333333","1438.3333333333333","1438.3333333333333"
"164","485","485","485","319","319","319","1130.125","1130.125","1130.125","787.9","787.9","787.9"
"168","238.16666666666666","238.16666666666666","238.16666666666666","433.55555555555554","433.55555555555554","433.55555555555554","1093.2222222222222","1093.2222222222222","1093.2222222222222","845.7","845.7","845.7"
"172","132.6","132.6","132.6","580","580","580","1066.4285714285713","1066.4285714285713","1066.4285714285713","979.0909090909091","979.0909090909091","979.0909090909091"
"176","218.42857142857142","218.42857142857142","218.42857142857142","684.375","684.375","684.375","935","935","935","951.2","951.2","951.2"
"180","285.8333333333333","285.8333333333333","285.8333333333333","538.5","538.5","538.5","1417.857142857143","1417.857142857143","1417.857142857143","818.3333333333334","818.3333333333334","818.3333333333334"
"184","393.55555555555554","393.55555555555554","393.55555555555554","453.4","453.4","453.4","1002.7","1002.7","1002.7","993.4","993.4","993.4"
"188","316.8888888888889","316.8888888888889","316.8888888888889","693.4285714285714","693.4285714285714","693.4285714285714","759.1428571428571","759.1428571428571","759.1428571428571","1127.5555555555557","1127.5555555555557","1127.5555555555557"
"192","117.71428571428571","117.71428571428571","117.71428571428571","547.8571428571429","547.8571428571429","547.8571428571429","1106.3333333333333","1106.3333333333333","1106.3333333333333","879.2857142857143","879.2857142857143","879.2857142857143"
"196","400.8888888888889","400.8888888888889","400.8888888888889","466.5","466.5","466.5","1012.5","1012.5","1012.5","935.2727272727273","935.2727272727273","935.2727272727273"
