"Step","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val/test_score/AMC23__MAX"
"192","0.175","0.175","0.175","0.175","0.175","0.175","0.15","0.15","0.15","0.175","0.175","0.175"
"196","0.225","0.225","0.225","0.1","0.1","0.1","0.15","0.15","0.15","0.275","0.275","0.275"
"200","0.15","0.15","0.15","0.15","0.15","0.15","0.175","0.175","0.175","0.225","0.225","0.225"
"204","0.1","0.1","0.1","0.175","0.175","0.175","0.35","0.35","0.35","0.15","0.15","0.15"
"208","0.225","0.225","0.225","0.15","0.15","0.15","0.2","0.2","0.2","0.25","0.25","0.25"
"212","0.175","0.175","0.175","0.125","0.125","0.125","0.2","0.2","0.2","0.2","0.2","0.2"
"216","0.15","0.15","0.15","0.225","0.225","0.225","0.2","0.2","0.2","0.175","0.175","0.175"
"220","0.175","0.175","0.175","0.2","0.2","0.2","0.25","0.25","0.25","0.3","0.3","0.3"
"224","0.175","0.175","0.175","0.175","0.175","0.175","0.225","0.225","0.225","0.25","0.25","0.25"
"228","0.225","0.225","0.225","0.15","0.15","0.15","0.125","0.125","0.125","","",""
"232","0.2","0.2","0.2","0.175","0.175","0.175","0.175","0.175","0.175","","",""
"236","0.2","0.2","0.2","0.175","0.175","0.175","0.275","0.275","0.275","","",""
"240","0.2","0.2","0.2","0.15","0.15","0.15","","","","","",""
"244","0.275","0.275","0.275","0.15","0.15","0.15","","","","","",""
"248","0.2","0.2","0.2","0.25","0.25","0.25","","","","","",""
"252","0.175","0.175","0.175","0.25","0.25","0.25","","","","","",""
"256","0.225","0.225","0.225","0.15","0.15","0.15","","","","","",""
"260","0.225","0.225","0.225","0.1","0.1","0.1","","","","","",""
"264","0.175","0.175","0.175","0.125","0.125","0.125","","","","","",""
"268","0.25","0.25","0.25","0.225","0.225","0.225","","","","","",""
"272","0.2","0.2","0.2","0.225","0.225","0.225","","","","","",""
"276","0.175","0.175","0.175","0.225","0.225","0.225","","","","","",""
"280","0.175","0.175","0.175","0.2","0.2","0.2","","","","","",""
"284","0.175","0.175","0.175","0.175","0.175","0.175","","","","","",""
"288","0.175","0.175","0.175","0.2","0.2","0.2","","","","","",""
"292","0.2","0.2","0.2","0.2","0.2","0.2","","","","","",""
"296","0.225","0.225","0.225","","","","","","","","",""
