"Step","rl.grpo_llama.3b_stable.130b_decay.openr1.010.omi2.020_rlctx.4.8k_math.8k_orzbase_0415_1540 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.openr1.010.omi2.020_rlctx.4.8k_math.8k_orzbase_0415_1540 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.010.omi2.020_rlctx.4.8k_math.8k_orzbase_0415_1540 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.015.omi2.015_rlctx.4.8k_math.8k_orzbase_0415_1539 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.openr1.015.omi2.015_rlctx.4.8k_math.8k_orzbase_0415_1539 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.015.omi2.015_rlctx.4.8k_math.8k_orzbase_0415_1539 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.020.omi2.010_rlctx.4.8k_orzbase_math.8k_0415_1537 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.openr1.020.omi2.010_rlctx.4.8k_orzbase_math.8k_0415_1537 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.020.omi2.010_rlctx.4.8k_orzbase_math.8k_0415_1537 - val/test_score/AMC23__MAX"
"252","0.325","0.325","0.325","0.2","0.2","0.2","0.3","0.3","0.3"
"256","0.35","0.35","0.35","0.325","0.325","0.325","0.35","0.35","0.35"
"260","0.275","0.275","0.275","0.3","0.3","0.3","0.3","0.3","0.3"
"264","0.175","0.175","0.175","0.2","0.2","0.2","0.35","0.35","0.35"
"268","0.275","0.275","0.275","0.25","0.25","0.25","0.4","0.4","0.4"
"272","0.2","0.2","0.2","0.275","0.275","0.275","0.25","0.25","0.25"
"276","0.25","0.25","0.25","0.25","0.25","0.25","0.325","0.325","0.325"
"280","0.3","0.3","0.3","0.275","0.275","0.275","0.375","0.375","0.375"
"284","0.2","0.2","0.2","0.325","0.325","0.325","0.25","0.25","0.25"
"288","0.25","0.25","0.25","0.275","0.275","0.275","0.325","0.325","0.325"
"292","0.225","0.225","0.225","0.25","0.25","0.25","0.275","0.275","0.275"
"296","0.225","0.225","0.225","0.275","0.275","0.275","0.4","0.4","0.4"
"300","0.225","0.225","0.225","0.325","0.325","0.325","0.325","0.325","0.325"
"304","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.3"
"308","0.225","0.225","0.225","0.225","0.225","0.225","0.25","0.25","0.25"
"312","0.275","0.275","0.275","0.325","0.325","0.325","0.3","0.3","0.3"
"316","0.2","0.2","0.2","0.35","0.35","0.35","0.275","0.275","0.275"
"320","0.275","0.275","0.275","0.325","0.325","0.325","0.3","0.3","0.3"
"324","0.2","0.2","0.2","0.35","0.35","0.35","0.325","0.325","0.325"
"328","0.325","0.325","0.325","0.375","0.375","0.375","0.3","0.3","0.3"
"332","0.325","0.325","0.325","0.2","0.2","0.2","0.275","0.275","0.275"
"336","0.3","0.3","0.3","0.275","0.275","0.275","0.225","0.225","0.225"
"340","0.325","0.325","0.325","0.275","0.275","0.275","0.2","0.2","0.2"
"344","0.325","0.325","0.325","","","","0.325","0.325","0.325"
"348","0.25","0.25","0.25","","","","0.275","0.275","0.275"
"352","0.325","0.325","0.325","","","","0.35","0.35","0.35"
"356","0.275","0.275","0.275","","","","0.325","0.325","0.325"
"360","0.275","0.275","0.275","","","","0.35","0.35","0.35"
"364","0.275","0.275","0.275","","","","0.375","0.375","0.375"
"368","0.25","0.25","0.25","","","","0.4","0.4","0.4"
"372","0.25","0.25","0.25","","","","0.35","0.35","0.35"
"376","0.175","0.175","0.175","","","","0.35","0.35","0.35"
"380","0.2","0.2","0.2","","","","0.3","0.3","0.3"
"384","0.225","0.225","0.225","","","","0.275","0.275","0.275"
"388","0.225","0.225","0.225","","","","0.325","0.325","0.325"
"392","0.15","0.15","0.15","","","","0.35","0.35","0.35"
"396","0.15","0.15","0.15","","","","0.3","0.3","0.3"
"400","0.225","0.225","0.225","","","","0.375","0.375","0.375"
"404","0.2","0.2","0.2","","","","0.35","0.35","0.35"
"408","0.3","0.3","0.3","","","","0.35","0.35","0.35"
"412","0.25","0.25","0.25","","","","0.275","0.275","0.275"
"416","0.3","0.3","0.3","","","","0.35","0.35","0.35"
"420","0.275","0.275","0.275","","","","0.3","0.3","0.3"
"424","0.25","0.25","0.25","","","","0.3","0.3","0.3"
"428","0.275","0.275","0.275","","","","0.3","0.3","0.3"
"432","0.225","0.225","0.225","","","","0.375","0.375","0.375"
"436","0.2","0.2","0.2","","","","0.3","0.3","0.3"
"440","0.25","0.25","0.25","","","","0.25","0.25","0.25"
"444","0.275","0.275","0.275","","","","0.375","0.375","0.375"
"448","0.3","0.3","0.3","","","","","",""
"452","0.25","0.25","0.25","","","","","",""
"456","0.275","0.275","0.275","","","","","",""
"460","0.225","0.225","0.225","","","","","",""
"464","0.25","0.25","0.25","","","","","",""
"468","0.25","0.25","0.25","","","","","",""
"472","0.275","0.275","0.275","","","","","",""
"476","0.275","0.275","0.275","","","","","",""
"480","0.275","0.275","0.275","","","","","",""
"484","0.325","0.325","0.325","","","","","",""
"488","0.25","0.25","0.25","","","","","",""
"492","0.325","0.325","0.325","","","","","",""
"496","0.3","0.3","0.3","","","","","",""
"500","0.275","0.275","0.275","","","","","",""
"504","0.375","0.375","0.375","","","","","",""
