"Step","rl.grpo_llama.3b_stable.130b_decay.openr1.010.omi2.020_rlctx.4.8k_math.8k_orzbase_0415_1540 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.openr1.010.omi2.020_rlctx.4.8k_math.8k_orzbase_0415_1540 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.010.omi2.020_rlctx.4.8k_math.8k_orzbase_0415_1540 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.015.omi2.015_rlctx.4.8k_math.8k_orzbase_0415_1539 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.openr1.015.omi2.015_rlctx.4.8k_math.8k_orzbase_0415_1539 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.015.omi2.015_rlctx.4.8k_math.8k_orzbase_0415_1539 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.020.omi2.010_rlctx.4.8k_orzbase_math.8k_0415_1537 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.openr1.020.omi2.010_rlctx.4.8k_orzbase_math.8k_0415_1537 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.020.omi2.010_rlctx.4.8k_orzbase_math.8k_0415_1537 - val_response_length/test_length_correct/AMC23__MAX"
"164","920.1666666666666","920.1666666666666","920.1666666666666","2107.235294117647","2107.235294117647","2107.235294117647","1201.4666666666667","1201.4666666666667","1201.4666666666667"
"168","1599.1","1599.1","1599.1","867.1818181818181","867.1818181818181","867.1818181818181","656.7692307692307","656.7692307692307","656.7692307692307"
"172","1765.4","1765.4","1765.4","750.5833333333334","750.5833333333334","750.5833333333334","821.9090909090909","821.9090909090909","821.9090909090909"
"176","700.4","700.4","700.4","1115.75","1115.75","1115.75","791.2222222222222","791.2222222222222","791.2222222222222"
"180","2537.3846153846152","2537.3846153846152","2537.3846153846152","1108.4166666666667","1108.4166666666667","1108.4166666666667","804.7","804.7","804.7"
"184","731.1111111111111","731.1111111111111","731.1111111111111","2756.75","2756.75","2756.75","1226.9166666666667","1226.9166666666667","1226.9166666666667"
"188","855.4444444444445","855.4444444444445","855.4444444444445","1149.857142857143","1149.857142857143","1149.857142857143","995.6","995.6","995.6"
"192","517","517","517","1624.642857142857","1624.642857142857","1624.642857142857","1355.0625","1355.0625","1355.0625"
"196","864.9090909090909","864.9090909090909","864.9090909090909","1113.7692307692307","1113.7692307692307","1113.7692307692307","824.5","824.5","824.5"
"200","1027.4166666666667","1027.4166666666667","1027.4166666666667","1685.7692307692307","1685.7692307692307","1685.7692307692307","1532.4375","1532.4375","1532.4375"
"204","1070.357142857143","1070.357142857143","1070.357142857143","782","782","782","756.5833333333334","756.5833333333334","756.5833333333334"
"208","772.7777777777778","772.7777777777778","772.7777777777778","1879.5555555555557","1879.5555555555557","1879.5555555555557","1296.3636363636363","1296.3636363636363","1296.3636363636363"
"212","1278.9166666666667","1278.9166666666667","1278.9166666666667","1314.2222222222222","1314.2222222222222","1314.2222222222222","1210.7142857142858","1210.7142857142858","1210.7142857142858"
"216","818.6","818.6","818.6","1237.642857142857","1237.642857142857","1237.642857142857","1024.142857142857","1024.142857142857","1024.142857142857"
"220","886.9166666666666","886.9166666666666","886.9166666666666","1473.9166666666667","1473.9166666666667","1473.9166666666667","1497.125","1497.125","1497.125"
"224","1142.8181818181818","1142.8181818181818","1142.8181818181818","1290.6","1290.6","1290.6","1092.7777777777778","1092.7777777777778","1092.7777777777778"
"228","741.2","741.2","741.2","1978.2142857142858","1978.2142857142858","1978.2142857142858","1522.6666666666667","1522.6666666666667","1522.6666666666667"
"232","490","490","490","1276.2","1276.2","1276.2","1537.5","1537.5","1537.5"
"236","780.2727272727273","780.2727272727273","780.2727272727273","2625.8","2625.8","2625.8","1109.6666666666667","1109.6666666666667","1109.6666666666667"
"240","714.4444444444445","714.4444444444445","714.4444444444445","2081.1428571428573","2081.1428571428573","2081.1428571428573","1318.5","1318.5","1318.5"
"244","1436.090909090909","1436.090909090909","1436.090909090909","1746.111111111111","1746.111111111111","1746.111111111111","1455.3333333333333","1455.3333333333333","1455.3333333333333"
"248","749.4545454545455","749.4545454545455","749.4545454545455","2312.5","2312.5","2312.5","1333.5454545454545","1333.5454545454545","1333.5454545454545"
"252","616","616","616","2297","2297","2297","780","780","780"
"256","1063.357142857143","1063.357142857143","1063.357142857143","2360.846153846154","2360.846153846154","2360.846153846154","1203.357142857143","1203.357142857143","1203.357142857143"
"260","773.1818181818181","773.1818181818181","773.1818181818181","2635.1666666666665","2635.1666666666665","2635.1666666666665","984.0833333333334","984.0833333333334","984.0833333333334"
"264","2062.1428571428573","2062.1428571428573","2062.1428571428573","2976.375","2976.375","2976.375","1209.4285714285713","1209.4285714285713","1209.4285714285713"
"268","960","960","960","1996.8","1996.8","1996.8","1488.875","1488.875","1488.875"
"272","623.75","623.75","623.75","2412.7272727272725","2412.7272727272725","2412.7272727272725","1599.6","1599.6","1599.6"
"276","954.3","954.3","954.3","3337.8","3337.8","3337.8","948","948","948"
"280","1341","1341","1341","1812.8181818181818","1812.8181818181818","1812.8181818181818","1020.8","1020.8","1020.8"
"284","560.875","560.875","560.875","1816.3846153846155","1816.3846153846155","1816.3846153846155","1016.6","1016.6","1016.6"
"288","806","806","806","1795.3636363636363","1795.3636363636363","1795.3636363636363","1356","1356","1356"
"292","1331.111111111111","1331.111111111111","1331.111111111111","2170.7","2170.7","2170.7","1495.4545454545455","1495.4545454545455","1495.4545454545455"
"296","1491.3333333333333","1491.3333333333333","1491.3333333333333","1553.1818181818182","1553.1818181818182","1553.1818181818182","1174.1875","1174.1875","1174.1875"
"300","620.4444444444445","620.4444444444445","620.4444444444445","1832.923076923077","1832.923076923077","1832.923076923077","1567.1538461538462","1567.1538461538462","1567.1538461538462"
"304","1371.75","1371.75","1371.75","1417.25","1417.25","1417.25","1033.0833333333333","1033.0833333333333","1033.0833333333333"
"308","496.55555555555554","496.55555555555554","496.55555555555554","3001.777777777778","3001.777777777778","3001.777777777778","1378.9","1378.9","1378.9"
"312","868","868","868","1738.923076923077","1738.923076923077","1738.923076923077","1308.4166666666667","1308.4166666666667","1308.4166666666667"
"316","599.375","599.375","599.375","1989.5","1989.5","1989.5","1151","1151","1151"
"320","999.5454545454545","999.5454545454545","999.5454545454545","2649.6923076923076","2649.6923076923076","2649.6923076923076","984.8333333333334","984.8333333333334","984.8333333333334"
"324","841.875","841.875","841.875","2409.785714285714","2409.785714285714","2409.785714285714","992.1538461538462","992.1538461538462","992.1538461538462"
"328","1363.5384615384614","1363.5384615384614","1363.5384615384614","1446.8","1446.8","1446.8","808.5","808.5","808.5"
"332","1256.7692307692307","1256.7692307692307","1256.7692307692307","2162.875","2162.875","2162.875","826.2727272727273","826.2727272727273","826.2727272727273"
"336","828.75","828.75","828.75","1756","1756","1756","1055.111111111111","1055.111111111111","1055.111111111111"
"340","913","913","913","3180.4545454545455","3180.4545454545455","3180.4545454545455","1266.5","1266.5","1266.5"
"344","653.3846153846154","653.3846153846154","653.3846153846154","","","","1141","1141","1141"
"348","703.7","703.7","703.7","","","","592.7272727272727","592.7272727272727","592.7272727272727"
"352","1355.5384615384614","1355.5384615384614","1355.5384615384614","","","","1216.9285714285713","1216.9285714285713","1216.9285714285713"
"356","1251.6363636363637","1251.6363636363637","1251.6363636363637","","","","1317.1538461538462","1317.1538461538462","1317.1538461538462"
"360","837.7272727272727","837.7272727272727","837.7272727272727","","","","1079.5714285714287","1079.5714285714287","1079.5714285714287"
"364","1143","1143","1143","","","","878","878","878"
"368","995.7","995.7","995.7","","","","1038.9375","1038.9375","1038.9375"
"372","613.5","613.5","613.5","","","","1129.2857142857142","1129.2857142857142","1129.2857142857142"
"376","1231.2857142857142","1231.2857142857142","1231.2857142857142","","","","1475","1475","1475"
"380","1419.125","1419.125","1419.125","","","","1145","1145","1145"
"384","1243.7777777777778","1243.7777777777778","1243.7777777777778","","","","845.2727272727273","845.2727272727273","845.2727272727273"
"388","1376.5555555555557","1376.5555555555557","1376.5555555555557","","","","981.6923076923077","981.6923076923077","981.6923076923077"
"392","428.3333333333333","428.3333333333333","428.3333333333333","","","","962.9285714285714","962.9285714285714","962.9285714285714"
"396","598","598","598","","","","840.75","840.75","840.75"
"400","1784.7777777777778","1784.7777777777778","1784.7777777777778","","","","1628.7333333333333","1628.7333333333333","1628.7333333333333"
"404","922.125","922.125","922.125","","","","1227.9285714285713","1227.9285714285713","1227.9285714285713"
"408","764.25","764.25","764.25","","","","832.7142857142857","832.7142857142857","832.7142857142857"
"412","675.8","675.8","675.8","","","","1092.2727272727273","1092.2727272727273","1092.2727272727273"
"416","762","762","762","","","","828.3571428571429","828.3571428571429","828.3571428571429"
"420","515.9090909090909","515.9090909090909","515.9090909090909","","","","1690.6666666666667","1690.6666666666667","1690.6666666666667"
"424","1194.9","1194.9","1194.9","","","","1204.5833333333333","1204.5833333333333","1204.5833333333333"
"428","1077.090909090909","1077.090909090909","1077.090909090909","","","","962.75","962.75","962.75"
"432","812","812","812","","","","1079.9333333333334","1079.9333333333334","1079.9333333333334"
"436","668.5","668.5","668.5","","","","1075.1666666666667","1075.1666666666667","1075.1666666666667"
"440","1209.3","1209.3","1209.3","","","","946.8","946.8","946.8"
"444","1000.5454545454545","1000.5454545454545","1000.5454545454545","","","","1204.0666666666666","1204.0666666666666","1204.0666666666666"
"448","931.6666666666666","931.6666666666666","931.6666666666666","","","","","",""
"452","701","701","701","","","","","",""
"456","1287.5454545454545","1287.5454545454545","1287.5454545454545","","","","","",""
"460","727.2222222222222","727.2222222222222","727.2222222222222","","","","","",""
"464","1031.3","1031.3","1031.3","","","","","",""
"468","839.1","839.1","839.1","","","","","",""
"472","820.7272727272727","820.7272727272727","820.7272727272727","","","","","",""
"476","801","801","801","","","","","",""
"480","1235","1235","1235","","","","","",""
"484","726.0769230769231","726.0769230769231","726.0769230769231","","","","","",""
"488","648.7","648.7","648.7","","","","","",""
"492","769.6923076923077","769.6923076923077","769.6923076923077","","","","","",""
"496","836","836","836","","","","","",""
"500","1102.3636363636363","1102.3636363636363","1102.3636363636363","","","","","",""
"504","1000","1000","1000","","","","","",""
