"Step","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23__MAX"
"132","462.55555555555554","462.55555555555554","462.55555555555554","603.4","603.4","603.4","388.44444444444446","388.44444444444446","388.44444444444446","418","418","418"
"136","497.26666666666665","497.26666666666665","497.26666666666665","527.4444444444445","527.4444444444445","527.4444444444445","440.8","440.8","440.8","335.5","335.5","335.5"
"140","536.3636363636364","536.3636363636364","536.3636363636364","565.7","565.7","565.7","446.77777777777777","446.77777777777777","446.77777777777777","394.09090909090907","394.09090909090907","394.09090909090907"
"144","721.2727272727273","721.2727272727273","721.2727272727273","317.57142857142856","317.57142857142856","317.57142857142856","481.42857142857144","481.42857142857144","481.42857142857144","383.125","383.125","383.125"
"148","592.75","592.75","592.75","465","465","465","670.4545454545455","670.4545454545455","670.4545454545455","333.77777777777777","333.77777777777777","333.77777777777777"
"152","512.8181818181819","512.8181818181819","512.8181818181819","382.8888888888889","382.8888888888889","382.8888888888889","535.9090909090909","535.9090909090909","535.9090909090909","366.7","366.7","366.7"
"156","530.9","530.9","530.9","438","438","438","503","503","503","361","361","361"
"160","445.4","445.4","445.4","467.53846153846155","467.53846153846155","467.53846153846155","466.8888888888889","466.8888888888889","466.8888888888889","406.5","406.5","406.5"
"164","477.38461538461536","477.38461538461536","477.38461538461536","477.1666666666667","477.1666666666667","477.1666666666667","542","542","542","381.375","381.375","381.375"
"168","367.55555555555554","367.55555555555554","367.55555555555554","578.6923076923077","578.6923076923077","578.6923076923077","396.3333333333333","396.3333333333333","396.3333333333333","365.625","365.625","365.625"
