"Step","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23__MAX"
"564","407.8181818181818","407.8181818181818","407.8181818181818","537.25","537.25","537.25","","","","","",""
"568","391.3636363636364","391.3636363636364","391.3636363636364","770.1818181818181","770.1818181818181","770.1818181818181","","","","","",""
"572","416.27272727272725","416.27272727272725","416.27272727272725","669.3846153846154","669.3846153846154","669.3846153846154","","","","","",""
"576","419.90909090909093","419.90909090909093","419.90909090909093","681.5333333333333","681.5333333333333","681.5333333333333","","","","","",""
"580","595.9285714285714","595.9285714285714","595.9285714285714","625.5625","625.5625","625.5625","","","","","",""
"584","457.1818181818182","457.1818181818182","457.1818181818182","544.5555555555555","544.5555555555555","544.5555555555555","","","","","",""
"588","431.90909090909093","431.90909090909093","431.90909090909093","465.8235294117647","465.8235294117647","465.8235294117647","","","","","",""
"592","530.6363636363636","530.6363636363636","530.6363636363636","306.1666666666667","306.1666666666667","306.1666666666667","","","","","",""
"596","471.1818181818182","471.1818181818182","471.1818181818182","453.5","453.5","453.5","","","","","",""
"600","561.4545454545455","561.4545454545455","561.4545454545455","459.875","459.875","459.875","","","","","",""
"604","517.1818181818181","517.1818181818181","517.1818181818181","480.85714285714283","480.85714285714283","480.85714285714283","","","","","",""
"608","579.9285714285714","579.9285714285714","579.9285714285714","756.0769230769231","756.0769230769231","756.0769230769231","","","","","",""
"612","481.6666666666667","481.6666666666667","481.6666666666667","638.6","638.6","638.6","","","","","",""
"616","468.45454545454544","468.45454545454544","468.45454545454544","562.8461538461538","562.8461538461538","562.8461538461538","","","","","",""
"620","657","657","657","580.875","580.875","580.875","","","","","",""
"624","568.0833333333334","568.0833333333334","568.0833333333334","538.9333333333333","538.9333333333333","538.9333333333333","","","","","",""
"628","519","519","519","877.1176470588235","877.1176470588235","877.1176470588235","","","","","",""
"632","516.8461538461538","516.8461538461538","516.8461538461538","561.6","561.6","561.6","","","","","",""
"636","580.4166666666666","580.4166666666666","580.4166666666666","536.5384615384615","536.5384615384615","536.5384615384615","","","","","",""
"640","442","442","442","439.7142857142857","439.7142857142857","439.7142857142857","","","","","",""
"644","421.1","421.1","421.1","511.3333333333333","511.3333333333333","511.3333333333333","","","","","",""
"648","582.25","582.25","582.25","559.5833333333334","559.5833333333334","559.5833333333334","","","","","",""
"652","550.7142857142857","550.7142857142857","550.7142857142857","545.7857142857143","545.7857142857143","545.7857142857143","","","","","",""
"656","601.3846153846154","601.3846153846154","601.3846153846154","511.92857142857144","511.92857142857144","511.92857142857144","","","","","",""
"660","473.5","473.5","473.5","439.7692307692308","439.7692307692308","439.7692307692308","","","","","",""
"664","494.3","494.3","494.3","411.8666666666667","411.8666666666667","411.8666666666667","","","","","",""
"668","499.2307692307692","499.2307692307692","499.2307692307692","479.52941176470586","479.52941176470586","479.52941176470586","","","","","",""
"672","328","328","328","602.1428571428571","602.1428571428571","602.1428571428571","","","","","",""
"676","459","459","459","635.9285714285714","635.9285714285714","635.9285714285714","","","","","",""
"680","494.5","494.5","494.5","525","525","525","","","","","",""
"684","482.5833333333333","482.5833333333333","482.5833333333333","517.0714285714286","517.0714285714286","517.0714285714286","","","","","",""
"688","508.0833333333333","508.0833333333333","508.0833333333333","467.7647058823529","467.7647058823529","467.7647058823529","","","","","",""
"692","475.42857142857144","475.42857142857144","475.42857142857144","428.8125","428.8125","428.8125","","","","","",""
"696","554.9285714285714","554.9285714285714","554.9285714285714","393","393","393","","","","","",""
"700","371.6666666666667","371.6666666666667","371.6666666666667","413.1333333333333","413.1333333333333","413.1333333333333","","","","","",""
"704","451.9166666666667","451.9166666666667","451.9166666666667","415.47058823529414","415.47058823529414","415.47058823529414","","","","","",""
"708","383.1818181818182","383.1818181818182","383.1818181818182","415.94117647058823","415.94117647058823","415.94117647058823","","","","","",""
"712","603.7142857142857","603.7142857142857","603.7142857142857","559.1666666666666","559.1666666666666","559.1666666666666","","","","","",""
"716","409.1818181818182","409.1818181818182","409.1818181818182","581.7058823529412","581.7058823529412","581.7058823529412","","","","","",""
"720","572","572","572","431.7857142857143","431.7857142857143","431.7857142857143","","","","","",""
"724","513.4","513.4","513.4","534.2666666666667","534.2666666666667","534.2666666666667","","","","","",""
"728","479.27272727272725","479.27272727272725","479.27272727272725","452.5","452.5","452.5","","","","","",""
"732","654.9166666666666","654.9166666666666","654.9166666666666","562.6666666666666","562.6666666666666","562.6666666666666","","","","","",""
"736","433.2307692307692","433.2307692307692","433.2307692307692","513.5","513.5","513.5","","","","","",""
"740","730.8461538461538","730.8461538461538","730.8461538461538","468.9166666666667","468.9166666666667","468.9166666666667","","","","","",""
"744","451.46153846153845","451.46153846153845","451.46153846153845","493.93333333333334","493.93333333333334","493.93333333333334","","","","","",""
"748","433.27272727272725","433.27272727272725","433.27272727272725","395.06666666666666","395.06666666666666","395.06666666666666","","","","","",""
"752","449.4","449.4","449.4","575.7692307692307","575.7692307692307","575.7692307692307","","","","","",""
"756","520","520","520","400","400","400","","","","","",""
"760","630.5454545454545","630.5454545454545","630.5454545454545","395.61538461538464","395.61538461538464","395.61538461538464","","","","","",""
"764","621","621","621","518.2857142857143","518.2857142857143","518.2857142857143","","","","","",""
"768","582.8571428571429","582.8571428571429","582.8571428571429","344.3333333333333","344.3333333333333","344.3333333333333","","","","","",""
"772","505.5","505.5","505.5","409","409","409","","","","","",""
"776","399.6","399.6","399.6","383","383","383","","","","","",""
"780","427.9","427.9","427.9","636.125","636.125","636.125","","","","","",""
"784","425.25","425.25","425.25","649","649","649","","","","","",""
"788","549.5833333333334","549.5833333333334","549.5833333333334","553.6875","553.6875","553.6875","","","","","",""
"792","513.8571428571429","513.8571428571429","513.8571428571429","787.9444444444445","787.9444444444445","787.9444444444445","","","","","",""
"796","853.25","853.25","853.25","477.53333333333336","477.53333333333336","477.53333333333336","","","","","",""
"800","350.25","350.25","350.25","662.3333333333334","662.3333333333334","662.3333333333334","","","","","",""
"804","731.9166666666666","731.9166666666666","731.9166666666666","578.8571428571429","578.8571428571429","578.8571428571429","","","","","",""
"808","580.25","580.25","580.25","410.90909090909093","410.90909090909093","410.90909090909093","","","","","",""
"812","573.2727272727273","573.2727272727273","573.2727272727273","329.22222222222223","329.22222222222223","329.22222222222223","","","","","",""
"816","569.5","569.5","569.5","463.92857142857144","463.92857142857144","463.92857142857144","","","","","",""
"820","461.0769230769231","461.0769230769231","461.0769230769231","497.06666666666666","497.06666666666666","497.06666666666666","","","","","",""
"824","371","371","371","627.2","627.2","627.2","","","","","",""
"828","530.7857142857143","530.7857142857143","530.7857142857143","526.1111111111111","526.1111111111111","526.1111111111111","","","","","",""
"832","533.7857142857143","533.7857142857143","533.7857142857143","485.6363636363636","485.6363636363636","485.6363636363636","","","","","",""
"836","353.6666666666667","353.6666666666667","353.6666666666667","","","","","","","","",""
"840","554.4285714285714","554.4285714285714","554.4285714285714","","","","","","","","",""
"844","302.5","302.5","302.5","","","","","","","","",""
"848","517.2","517.2","517.2","","","","","","","","",""
"852","596.4","596.4","596.4","","","","","","","","",""
