"Step","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val/test_score/AMC23__MAX"
"192","0.25","0.25","0.25","0.275","0.275","0.275","0.25","0.25","0.25","0.225","0.225","0.225"
"196","0.175","0.175","0.175","0.325","0.325","0.325","0.175","0.175","0.175","0.275","0.275","0.275"
"200","0.275","0.275","0.275","0.325","0.325","0.325","0.25","0.25","0.25","0.2","0.2","0.2"
"204","0.225","0.225","0.225","0.225","0.225","0.225","0.3","0.3","0.3","0.25","0.25","0.25"
"208","0.225","0.225","0.225","0.25","0.25","0.25","0.25","0.25","0.25","0.275","0.275","0.275"
"212","0.325","0.325","0.325","0.25","0.25","0.25","0.225","0.225","0.225","0.25","0.25","0.25"
"216","0.275","0.275","0.275","0.275","0.275","0.275","0.175","0.175","0.175","0.325","0.325","0.325"
"220","0.325","0.325","0.325","0.3","0.3","0.3","0.25","0.25","0.25","0.3","0.3","0.3"
"224","0.325","0.325","0.325","0.275","0.275","0.275","0.2","0.2","0.2","0.3","0.3","0.3"
"228","0.275","0.275","0.275","0.2","0.2","0.2","0.225","0.225","0.225","0.275","0.275","0.275"
"232","0.225","0.225","0.225","0.225","0.225","0.225","0.25","0.25","0.25","0.25","0.25","0.25"
"236","0.2","0.2","0.2","0.175","0.175","0.175","0.15","0.15","0.15","0.225","0.225","0.225"
"240","0.275","0.275","0.275","0.25","0.25","0.25","0.2","0.2","0.2","0.225","0.225","0.225"
"244","0.275","0.275","0.275","0.25","0.25","0.25","0.25","0.25","0.25","0.275","0.275","0.275"
"248","0.225","0.225","0.225","0.2","0.2","0.2","0.2","0.2","0.2","0.275","0.275","0.275"
"252","0.3","0.3","0.3","0.275","0.275","0.275","0.175","0.175","0.175","0.175","0.175","0.175"
"256","0.225","0.225","0.225","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"260","0.275","0.275","0.275","0.25","0.25","0.25","0.2","0.2","0.2","0.2","0.2","0.2"
"264","0.325","0.325","0.325","0.375","0.375","0.375","0.125","0.125","0.125","0.225","0.225","0.225"
"268","0.225","0.225","0.225","0.275","0.275","0.275","0.25","0.25","0.25","0.225","0.225","0.225"
"272","0.25","0.25","0.25","0.4","0.4","0.4","0.2","0.2","0.2","0.225","0.225","0.225"
"276","0.275","0.275","0.275","0.25","0.25","0.25","0.2","0.2","0.2","0.25","0.25","0.25"
"280","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.225","0.225","0.225"
"284","0.225","0.225","0.225","0.275","0.275","0.275","0.175","0.175","0.175","0.225","0.225","0.225"
"288","0.325","0.325","0.325","0.3","0.3","0.3","0.2","0.2","0.2","0.225","0.225","0.225"
"292","0.25","0.25","0.25","0.375","0.375","0.375","0.225","0.225","0.225","0.275","0.275","0.275"
"296","0.25","0.25","0.25","0.3","0.3","0.3","0.25","0.25","0.25","0.25","0.25","0.25"
"300","0.225","0.225","0.225","0.225","0.225","0.225","0.225","0.225","0.225","0.275","0.275","0.275"
"304","0.25","0.25","0.25","0.25","0.25","0.25","0.2","0.2","0.2","0.275","0.275","0.275"
"308","0.25","0.25","0.25","0.25","0.25","0.25","0.175","0.175","0.175","0.225","0.225","0.225"
"312","0.275","0.275","0.275","0.225","0.225","0.225","0.2","0.2","0.2","0.225","0.225","0.225"
"316","0.25","0.25","0.25","0.2","0.2","0.2","0.175","0.175","0.175","0.225","0.225","0.225"
"320","0.325","0.325","0.325","0.325","0.325","0.325","0.2","0.2","0.2","0.275","0.275","0.275"
"324","0.375","0.375","0.375","0.25","0.25","0.25","0.2","0.2","0.2","0.225","0.225","0.225"
"328","0.3","0.3","0.3","0.3","0.3","0.3","0.2","0.2","0.2","0.225","0.225","0.225"
"332","0.275","0.275","0.275","0.275","0.275","0.275","0.2","0.2","0.2","0.225","0.225","0.225"
"336","0.35","0.35","0.35","0.275","0.275","0.275","0.175","0.175","0.175","0.2","0.2","0.2"
"340","0.25","0.25","0.25","0.275","0.275","0.275","0.275","0.275","0.275","0.3","0.3","0.3"
"344","0.325","0.325","0.325","0.35","0.35","0.35","0.15","0.15","0.15","0.3","0.3","0.3"
"348","0.3","0.3","0.3","0.325","0.325","0.325","0.2","0.2","0.2","0.275","0.275","0.275"
"352","0.275","0.275","0.275","0.3","0.3","0.3","0.2","0.2","0.2","0.25","0.25","0.25"
"356","0.2","0.2","0.2","0.35","0.35","0.35","0.3","0.3","0.3","0.275","0.275","0.275"
"360","0.275","0.275","0.275","0.375","0.375","0.375","0.225","0.225","0.225","0.3","0.3","0.3"
"364","0.3","0.3","0.3","0.3","0.3","0.3","0.175","0.175","0.175","0.2","0.2","0.2"
"368","0.275","0.275","0.275","0.275","0.275","0.275","0.275","0.275","0.275","0.25","0.25","0.25"
"372","0.15","0.15","0.15","0.35","0.35","0.35","0.2","0.2","0.2","0.2","0.2","0.2"
"376","0.225","0.225","0.225","0.275","0.275","0.275","0.275","0.275","0.275","0.25","0.25","0.25"
"380","0.275","0.275","0.275","0.275","0.275","0.275","0.25","0.25","0.25","0.225","0.225","0.225"
"384","0.275","0.275","0.275","0.3","0.3","0.3","0.275","0.275","0.275","0.225","0.225","0.225"
"388","0.225","0.225","0.225","0.325","0.325","0.325","0.25","0.25","0.25","0.225","0.225","0.225"
"392","0.225","0.225","0.225","0.3","0.3","0.3","0.225","0.225","0.225","0.25","0.25","0.25"
"396","0.25","0.25","0.25","0.325","0.325","0.325","0.35","0.35","0.35","0.2","0.2","0.2"
"400","0.25","0.25","0.25","0.225","0.225","0.225","0.25","0.25","0.25","0.225","0.225","0.225"
