"Step","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val_response_length/test_length_correct/AMC23__MAX"
"176","534.25","534.25","534.25","614.3333333333334","614.3333333333334","614.3333333333334","1469.4705882352941","1469.4705882352941","1469.4705882352941"
"180","588.5555555555555","588.5555555555555","588.5555555555555","667.8461538461538","667.8461538461538","667.8461538461538","1950.75","1950.75","1950.75"
"184","515","515","515","648.4166666666666","648.4166666666666","648.4166666666666","1914.3125","1914.3125","1914.3125"
"188","628.6923076923077","628.6923076923077","628.6923076923077","696.3076923076923","696.3076923076923","696.3076923076923","1515.5333333333333","1515.5333333333333","1515.5333333333333"
"192","550.5","550.5","550.5","624.0833333333334","624.0833333333334","624.0833333333334","1620.6315789473683","1620.6315789473683","1620.6315789473683"
"196","715","715","715","647","647","647","2056.3888888888887","2056.3888888888887","2056.3888888888887"
"200","504.4166666666667","504.4166666666667","504.4166666666667","713.6666666666666","713.6666666666666","713.6666666666666","1456.375","1456.375","1456.375"
"204","639.3","639.3","639.3","496.72727272727275","496.72727272727275","496.72727272727275","1999.4705882352941","1999.4705882352941","1999.4705882352941"
"208","524.1428571428571","524.1428571428571","524.1428571428571","726.1666666666666","726.1666666666666","726.1666666666666","1779.5555555555557","1779.5555555555557","1779.5555555555557"
"212","1150.1818181818182","1150.1818181818182","1150.1818181818182","594.0909090909091","594.0909090909091","594.0909090909091","2093.764705882353","2093.764705882353","2093.764705882353"
"216","519","519","519","563.5833333333334","563.5833333333334","563.5833333333334","1951.8125","1951.8125","1951.8125"
"220","993.6","993.6","993.6","512.8888888888889","512.8888888888889","512.8888888888889","1552.857142857143","1552.857142857143","1552.857142857143"
"224","616.5714285714286","616.5714285714286","616.5714285714286","704.1666666666666","704.1666666666666","704.1666666666666","1921.9285714285713","1921.9285714285713","1921.9285714285713"
"228","678.7272727272727","678.7272727272727","678.7272727272727","661.4545454545455","661.4545454545455","661.4545454545455","1824.1538461538462","1824.1538461538462","1824.1538461538462"
"232","604.3076923076923","604.3076923076923","604.3076923076923","723.3333333333334","723.3333333333334","723.3333333333334","1918.1176470588234","1918.1176470588234","1918.1176470588234"
"236","543.4545454545455","543.4545454545455","543.4545454545455","752.1666666666666","752.1666666666666","752.1666666666666","1932.8125","1932.8125","1932.8125"
"240","612.0714285714286","612.0714285714286","612.0714285714286","593.6153846153846","593.6153846153846","593.6153846153846","1965.764705882353","1965.764705882353","1965.764705882353"
"244","634.25","634.25","634.25","536.9","536.9","536.9","1803.3529411764705","1803.3529411764705","1803.3529411764705"
"248","647.5454545454545","647.5454545454545","647.5454545454545","618.6666666666666","618.6666666666666","618.6666666666666","2642.1666666666665","2642.1666666666665","2642.1666666666665"
"252","616.9230769230769","616.9230769230769","616.9230769230769","659.5833333333334","659.5833333333334","659.5833333333334","2799.8125","2799.8125","2799.8125"
"256","862.5384615384615","862.5384615384615","862.5384615384615","852.6875","852.6875","852.6875","2398.4","2398.4","2398.4"
"260","816.0909090909091","816.0909090909091","816.0909090909091","537.1818181818181","537.1818181818181","537.1818181818181","2002","2002","2002"
"264","785.875","785.875","785.875","620.4285714285714","620.4285714285714","620.4285714285714","2177.0625","2177.0625","2177.0625"
"268","514.2142857142857","514.2142857142857","514.2142857142857","643.1111111111111","643.1111111111111","643.1111111111111","2352.0666666666666","2352.0666666666666","2352.0666666666666"
"272","722.2142857142857","722.2142857142857","722.2142857142857","666.9166666666666","666.9166666666666","666.9166666666666","2882.5263157894738","2882.5263157894738","2882.5263157894738"
"276","651.25","651.25","651.25","587.2727272727273","587.2727272727273","587.2727272727273","2149.25","2149.25","2149.25"
"280","562.3333333333334","562.3333333333334","562.3333333333334","651.6666666666666","651.6666666666666","651.6666666666666","2444.8571428571427","2444.8571428571427","2444.8571428571427"
"284","433.9230769230769","433.9230769230769","433.9230769230769","822.6363636363636","822.6363636363636","822.6363636363636","2514.9375","2514.9375","2514.9375"
"288","594.3846153846154","594.3846153846154","594.3846153846154","593.7142857142857","593.7142857142857","593.7142857142857","2082.75","2082.75","2082.75"
"292","654.9285714285714","654.9285714285714","654.9285714285714","695.3333333333334","695.3333333333334","695.3333333333334","2442.1111111111113","2442.1111111111113","2442.1111111111113"
"296","586.5","586.5","586.5","667.125","667.125","667.125","2813.1666666666665","2813.1666666666665","2813.1666666666665"
"300","539.1666666666666","539.1666666666666","539.1666666666666","663.0588235294117","663.0588235294117","663.0588235294117","2707.0625","2707.0625","2707.0625"
"304","695.25","695.25","695.25","715.4166666666666","715.4166666666666","715.4166666666666","","",""
"308","585.3333333333334","585.3333333333334","585.3333333333334","700.3333333333334","700.3333333333334","700.3333333333334","","",""
"312","531.1818181818181","531.1818181818181","531.1818181818181","737.0769230769231","737.0769230769231","737.0769230769231","","",""
"316","631.6875","631.6875","631.6875","809.8333333333334","809.8333333333334","809.8333333333334","","",""
"320","581.1666666666666","581.1666666666666","581.1666666666666","718.3076923076923","718.3076923076923","718.3076923076923","","",""
"324","557.4666666666667","557.4666666666667","557.4666666666667","827.8571428571429","827.8571428571429","827.8571428571429","","",""
"328","602.8181818181819","602.8181818181819","602.8181818181819","744","744","744","","",""
"332","760.1333333333333","760.1333333333333","760.1333333333333","782.2","782.2","782.2","","",""
"336","613.7857142857143","613.7857142857143","613.7857142857143","800.7333333333333","800.7333333333333","800.7333333333333","","",""
"340","539.6428571428571","539.6428571428571","539.6428571428571","680.7692307692307","680.7692307692307","680.7692307692307","","",""
"344","639.1333333333333","639.1333333333333","639.1333333333333","757.6666666666666","757.6666666666666","757.6666666666666","","",""
"348","590.9090909090909","590.9090909090909","590.9090909090909","694.0909090909091","694.0909090909091","694.0909090909091","","",""
"352","634","634","634","734.7272727272727","734.7272727272727","734.7272727272727","","",""
"356","475.8888888888889","475.8888888888889","475.8888888888889","598.1538461538462","598.1538461538462","598.1538461538462","","",""
"360","568.375","568.375","568.375","701.3846153846154","701.3846153846154","701.3846153846154","","",""
"364","555.5","555.5","555.5","634.6666666666666","634.6666666666666","634.6666666666666","","",""
"368","674.8461538461538","674.8461538461538","674.8461538461538","733","733","733","","",""
"372","729.6153846153846","729.6153846153846","729.6153846153846","705.7692307692307","705.7692307692307","705.7692307692307","","",""
"376","655.1666666666666","655.1666666666666","655.1666666666666","755.5454545454545","755.5454545454545","755.5454545454545","","",""
"380","446.3333333333333","446.3333333333333","446.3333333333333","709.1538461538462","709.1538461538462","709.1538461538462","","",""
"384","767.7272727272727","767.7272727272727","767.7272727272727","498.45454545454544","498.45454545454544","498.45454545454544","","",""
"388","631.2307692307693","631.2307692307693","631.2307692307693","832.5384615384615","832.5384615384615","832.5384615384615","","",""
"392","718.5","718.5","718.5","609.3636363636364","609.3636363636364","609.3636363636364","","",""
"396","498.6666666666667","498.6666666666667","498.6666666666667","1117.6","1117.6","1117.6","","",""
"400","737.25","737.25","737.25","578.8181818181819","578.8181818181819","578.8181818181819","","",""
"404","562.3333333333334","562.3333333333334","562.3333333333334","714.4545454545455","714.4545454545455","714.4545454545455","","",""
"408","599.2307692307693","599.2307692307693","599.2307692307693","672.2666666666667","672.2666666666667","672.2666666666667","","",""
"412","783.8333333333334","783.8333333333334","783.8333333333334","687.9090909090909","687.9090909090909","687.9090909090909","","",""
"416","604.2307692307693","604.2307692307693","604.2307692307693","652.75","652.75","652.75","","",""
"420","541.9230769230769","541.9230769230769","541.9230769230769","648.5","648.5","648.5","","",""
"424","460.4166666666667","460.4166666666667","460.4166666666667","533.2727272727273","533.2727272727273","533.2727272727273","","",""
"428","613.6","613.6","613.6","760.5","760.5","760.5","","",""
"432","446.125","446.125","446.125","653.3333333333334","653.3333333333334","653.3333333333334","","",""
"436","657.3636363636364","657.3636363636364","657.3636363636364","827.25","827.25","827.25","","",""
"440","732.1818181818181","732.1818181818181","732.1818181818181","653.5","653.5","653.5","","",""
"444","794.2857142857143","794.2857142857143","794.2857142857143","638.1","638.1","638.1","","",""
"448","710.6923076923077","710.6923076923077","710.6923076923077","513.7777777777778","513.7777777777778","513.7777777777778","","",""
"452","778.9","778.9","778.9","605.7142857142857","605.7142857142857","605.7142857142857","","",""
"456","635","635","635","694.75","694.75","694.75","","",""
"460","614.7272727272727","614.7272727272727","614.7272727272727","674.4285714285714","674.4285714285714","674.4285714285714","","",""
"464","658.1111111111111","658.1111111111111","658.1111111111111","586.5","586.5","586.5","","",""
"468","751.6363636363636","751.6363636363636","751.6363636363636","593.4166666666666","593.4166666666666","593.4166666666666","","",""
"472","553.9230769230769","553.9230769230769","553.9230769230769","464.125","464.125","464.125","","",""
"476","580.0666666666667","580.0666666666667","580.0666666666667","632.7","632.7","632.7","","",""
"480","495.5","495.5","495.5","866.0769230769231","866.0769230769231","866.0769230769231","","",""
"484","552","552","552","686.75","686.75","686.75","","",""
"488","657.7857142857143","657.7857142857143","657.7857142857143","719.2222222222222","719.2222222222222","719.2222222222222","","",""
"492","652","652","652","850","850","850","","",""
"496","668.5384615384615","668.5384615384615","668.5384615384615","1223","1223","1223","","",""
"500","758.8666666666667","758.8666666666667","758.8666666666667","1016.5","1016.5","1016.5","","",""
"504","589.6875","589.6875","589.6875","814.8888888888889","814.8888888888889","814.8888888888889","","",""
"508","500","500","500","806.3846153846154","806.3846153846154","806.3846153846154","","",""
"512","631.3076923076923","631.3076923076923","631.3076923076923","776.25","776.25","776.25","","",""
"516","719.6923076923077","719.6923076923077","719.6923076923077","722.8571428571429","722.8571428571429","722.8571428571429","","",""
"520","643.8333333333334","643.8333333333334","643.8333333333334","537.1538461538462","537.1538461538462","537.1538461538462","","",""
"524","607.4444444444445","607.4444444444445","607.4444444444445","584.5384615384615","584.5384615384615","584.5384615384615","","",""
"528","687","687","687","788.25","788.25","788.25","","",""
"532","701.2857142857143","701.2857142857143","701.2857142857143","789.5","789.5","789.5","","",""
"536","526.0833333333334","526.0833333333334","526.0833333333334","734.7142857142857","734.7142857142857","734.7142857142857","","",""
"540","483.5","483.5","483.5","718.8333333333334","718.8333333333334","718.8333333333334","","",""
"544","659.2142857142857","659.2142857142857","659.2142857142857","536.1538461538462","536.1538461538462","536.1538461538462","","",""
"548","658.6153846153846","658.6153846153846","658.6153846153846","541","541","541","","",""
"552","510.7692307692308","510.7692307692308","510.7692307692308","1020.6875","1020.6875","1020.6875","","",""
"556","558.3333333333334","558.3333333333334","558.3333333333334","932.1666666666666","932.1666666666666","932.1666666666666","","",""
"560","532.7","532.7","532.7","1052.5625","1052.5625","1052.5625","","",""
"564","745.8888888888889","745.8888888888889","745.8888888888889","1061.2142857142858","1061.2142857142858","1061.2142857142858","","",""
"568","573.2307692307693","573.2307692307693","573.2307692307693","766.9333333333333","766.9333333333333","766.9333333333333","","",""
"572","638.3","638.3","638.3","831.1333333333333","831.1333333333333","831.1333333333333","","",""
"576","542.5","542.5","542.5","641.4545454545455","641.4545454545455","641.4545454545455","","",""
"580","619.6923076923077","619.6923076923077","619.6923076923077","1333.9285714285713","1333.9285714285713","1333.9285714285713","","",""
"584","737.3076923076923","737.3076923076923","737.3076923076923","1057.3333333333333","1057.3333333333333","1057.3333333333333","","",""
"588","557","557","557","716","716","716","","",""
"592","708.4615384615385","708.4615384615385","708.4615384615385","803.75","803.75","803.75","","",""
"596","768","768","768","1011.6","1011.6","1011.6","","",""
"600","526.6428571428571","526.6428571428571","526.6428571428571","1050.5","1050.5","1050.5","","",""
"604","520.2","520.2","520.2","920.2142857142857","920.2142857142857","920.2142857142857","","",""
"608","","","","868.1428571428571","868.1428571428571","868.1428571428571","","",""
"612","","","","935.8823529411765","935.8823529411765","935.8823529411765","","",""
"616","","","","958.4736842105264","958.4736842105264","958.4736842105264","","",""
"620","","","","717.8666666666667","717.8666666666667","717.8666666666667","","",""
"624","","","","871.4375","871.4375","871.4375","","",""
"628","","","","849.5","849.5","849.5","","",""
"632","","","","956.4285714285714","956.4285714285714","956.4285714285714","","",""
"636","","","","741.6","741.6","741.6","","",""
"640","","","","1177","1177","1177","","",""
"644","","","","917.2352941176471","917.2352941176471","917.2352941176471","","",""
"648","","","","944.6428571428571","944.6428571428571","944.6428571428571","","",""
"652","","","","1152.2307692307693","1152.2307692307693","1152.2307692307693","","",""
"656","","","","1513.1538461538462","1513.1538461538462","1513.1538461538462","","",""
"660","","","","852.1538461538462","852.1538461538462","852.1538461538462","","",""
"664","","","","927.1428571428571","927.1428571428571","927.1428571428571","","",""
"668","","","","1205.6923076923076","1205.6923076923076","1205.6923076923076","","",""
