"Step","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val/test_score/AMC23","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val/test_score/AMC23","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val/test_score/AMC23","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val/test_score/AMC23__MAX"
"276","0.3","0.3","0.3","0.275","0.275","0.275","0.4","0.4","0.4"
"280","0.3","0.3","0.3","0.3","0.3","0.3","0.35","0.35","0.35"
"284","0.325","0.325","0.325","0.275","0.275","0.275","0.4","0.4","0.4"
"288","0.325","0.325","0.325","0.35","0.35","0.35","0.3","0.3","0.3"
"292","0.35","0.35","0.35","0.3","0.3","0.3","0.45","0.45","0.45"
"296","0.3","0.3","0.3","0.4","0.4","0.4","0.45","0.45","0.45"
"300","0.3","0.3","0.3","0.425","0.425","0.425","0.4","0.4","0.4"
"304","0.3","0.3","0.3","0.3","0.3","0.3","","",""
"308","0.225","0.225","0.225","0.3","0.3","0.3","","",""
"312","0.275","0.275","0.275","0.325","0.325","0.325","","",""
"316","0.4","0.4","0.4","0.3","0.3","0.3","","",""
"320","0.3","0.3","0.3","0.325","0.325","0.325","","",""
"324","0.375","0.375","0.375","0.35","0.35","0.35","","",""
"328","0.275","0.275","0.275","0.275","0.275","0.275","","",""
"332","0.375","0.375","0.375","0.375","0.375","0.375","","",""
"336","0.35","0.35","0.35","0.375","0.375","0.375","","",""
"340","0.35","0.35","0.35","0.325","0.325","0.325","","",""
"344","0.375","0.375","0.375","0.3","0.3","0.3","","",""
"348","0.275","0.275","0.275","0.275","0.275","0.275","","",""
"352","0.25","0.25","0.25","0.275","0.275","0.275","","",""
"356","0.225","0.225","0.225","0.325","0.325","0.325","","",""
"360","0.4","0.4","0.4","0.325","0.325","0.325","","",""
"364","0.35","0.35","0.35","0.225","0.225","0.225","","",""
"368","0.325","0.325","0.325","0.25","0.25","0.25","","",""
"372","0.325","0.325","0.325","0.325","0.325","0.325","","",""
"376","0.3","0.3","0.3","0.275","0.275","0.275","","",""
"380","0.225","0.225","0.225","0.325","0.325","0.325","","",""
"384","0.275","0.275","0.275","0.275","0.275","0.275","","",""
"388","0.325","0.325","0.325","0.325","0.325","0.325","","",""
"392","0.35","0.35","0.35","0.275","0.275","0.275","","",""
"396","0.225","0.225","0.225","0.375","0.375","0.375","","",""
"400","0.3","0.3","0.3","0.275","0.275","0.275","","",""
"404","0.225","0.225","0.225","0.275","0.275","0.275","","",""
"408","0.325","0.325","0.325","0.375","0.375","0.375","","",""
"412","0.3","0.3","0.3","0.275","0.275","0.275","","",""
"416","0.325","0.325","0.325","0.3","0.3","0.3","","",""
"420","0.325","0.325","0.325","0.3","0.3","0.3","","",""
"424","0.3","0.3","0.3","0.275","0.275","0.275","","",""
"428","0.375","0.375","0.375","0.2","0.2","0.2","","",""
"432","0.2","0.2","0.2","0.225","0.225","0.225","","",""
"436","0.275","0.275","0.275","0.3","0.3","0.3","","",""
"440","0.275","0.275","0.275","0.3","0.3","0.3","","",""
"444","0.35","0.35","0.35","0.25","0.25","0.25","","",""
